Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V
0,0,0,0,,923.1015625
1,1,1,1,4374.67262866496,876.151041666667
2,3,2,2,4571.1170277053,874.598958333333
3,18,3,3,4647.02224786879,879.643229166667
4,30,4,4,4725.47304287826,875.375
5,32,5,5,4766.9961341149,873.822916666667
6,25,6,6,4539.64632801673,878.479166666667
7.001,19,7,7,4316.18203123144,881.1953125
8.001,23,8,8,4790.49332791956,880.419270833333
9.001,16,9,9,4444.78496424793,868.390625
10.001,26,10,10,4589.92122467734,871.494791666667
11,18,11,11,4380.3518119985,878.8671875
12.001,19,12,12,4751.13051989956,879.643229166667
13,17,13,13,4209.57758373446,871.494791666667
14,30,14,14,4253.4606269727,888.567708333333
15,32,15,15,4516.83160173113,874.2109375
16.001,36,16,16,4731.75045595507,884.299479166667
17,22,17,17,4646.05930152075,888.567708333333
18.001,34,18,18,4747.95284765631,875.763020833333
19,30,19,19,4761.05266874506,888.955729166667
20,23,20,20,4130.46048427697,876.927083333333
21,40,21,21,4527.53062969998,860.2421875
22,38,22,22,4674.99809418546,887.403645833333
23,46,23,23,4382.93744467542,878.479166666667
24.001,34,24,24,4478.10779348428,881.1953125
25,45,25,25,4492.75315913592,880.807291666667
26,50,26,26,4444.92565006287,878.479166666667
27,40,27,27,4602.56363903746,880.03125
28,48,28,28,4635.18917841572,862.958333333333
29,54,29,29,4723.84065830037,868.002604166667
30,55,30,30,4142.84464332588,885.463541666667
31.001,62,31,31,4387.66819811205,879.255208333333
32.001,53,32,32,4712.43343575142,881.583333333333
33,77,33,33,4579.73362900736,870.71875
34,61,34,34,4624.89481807414,882.359375
35.001,55,35,35,4752.39099119886,882.359375
36,83,36,36,4594.39236110764,874.598958333333
37,59,37,37,4523.39962953635,868.390625
38,44,38,38,3939.04712278971,863.346354166667
39,45,39,39,4491.76180280176,878.479166666667
40.001,57,40,40,4646.04036881735,881.583333333333
41,43,41,41,4530.26753777462,849.377604166667
42,42,42,42,4712.53251557406,893.611979166667
43,43,43,43,4659.57202325012,877.315104166667
44,39,44,44,4534.17936657184,872.658854166667
45,35,45,45,4661.28371753581,881.971354166667
46,27,46,46,4608.06169741508,873.822916666667
47,37,47,47,4742.09986046963,871.8828125
48,45,48,48,4816.89400272187,876.5390625
49,54,49,49,4746.8350915726,880.419270833333
50.001,62,50,50,4786.27525571242,885.8515625
51,53,51,51,4739.40861021813,877.315104166667
52,52,52,52,4558.9605890065,872.658854166667
52.999,60,53,53,4716.16399735583,879.643229166667
54,64,54,54,4784.0868186703,873.046875
55.001,69,55,55,4841.33601326475,872.270833333333
56,89,56,56,4601.74594301736,860.630208333333
57,82,57,57,4679.90692185122,883.5234375
58,123,58,58,4339.69010369605,873.046875
59.001,93,59,59,4592.37505773795,889.731770833333
60,100,60,60,4534.08980095566,888.1796875
61,126,61,61,4109.40021049805,871.8828125
62.001,120,62,62,4582.70495562057,868.778645833333
62.999,139,63,63,4415.7381467279,865.674479166667
64,158,64,64,4411.50736087707,888.1796875
65.001,147,65,65,4556.00240558528,887.403645833333
65.999,187,66,66,4281.57769031535,884.299479166667
66.999,182,67,67,4449.07639616803,863.734375
68,214,68,68,4610.24088619667,879.643229166667
69.001,211,69,69,4867.93513033854,879.643229166667
70,271,70,70,4675.28804185553,882.747395833333
71,314,71,71,4533.56271906926,888.567708333333
72,359,72,72,3858.54575697693,876.927083333333
73.001,421,73,73,4732.0078247058,878.479166666667
74,568,74,74,3958.42091557176,872.658854166667
74.999,635,75,75,4490.28604451892,866.0625
76,783,76,76,4581.81806540835,862.5703125
77.001,867,77,77,4341.22638812962,877.703125
78.001,917,78,78,4869.37710631607,883.911458333333
79,1108,79,79,4728.88521086706,864.122395833333
80,1182,80,80,4635.24989890915,878.479166666667
81,1347,81,81,4713.60623625869,872.658854166667
82,1364,82,82,4687.77044829509,881.971354166667
83,1525,83,83,4473.66434082016,880.03125
84,1557,84,84,4402.16586560588,873.046875
85,1858,85,85,4377.51864768962,876.151041666667
86,1974,86,86,4613.8428267477,878.091145833333
87.001,2174,87,87,4688.95606632439,868.390625
88.001,2410,88,88,4686.35810258218,891.671875
89,2386,89,89,4488.96181700686,880.03125
90,2489,90,90,4802.55026322497,880.03125
91.001,2541,91,91,4622.89710059129,879.643229166667
92,2349,92,92,4655.94303882423,870.71875
93.001,2086,93,93,4432.92151093135,873.822916666667
94.001,1883,94,94,4566.82915376745,869.5546875
95,1599,95,95,4644.80814002376,872.658854166667
95.999,1371,96,96,4510.25833942548,864.8984375
97,999,97,97,4517.08848629798,872.270833333333
98,728,98,98,4419.64714931257,876.151041666667
99,597,99,99,4744.53920078382,879.255208333333
100,394,100,100,4621.02024351222,876.927083333333
,295,101,101,,
,188,102,102,,
,144,103,103,,
,115,104,104,,
,86,105,105,,
,81,106,106,,
,82,107,107,,
,52,108,108,,
,62,109,109,,
,68,110,110,,
,67,111,111,,
,63,112,112,,
,66,113,113,,
,63,114,114,,
,69,115,115,,
,72,116,116,,
,86,117,117,,
,102,118,118,,
,95,119,119,,
,101,120,120,,
,101,121,121,,
,113,122,122,,
,142,123,123,,
,165,124,124,,
,136,125,125,,
,172,126,126,,
,195,127,127,,
,195,128,128,,
,214,129,129,,
,246,130,130,,
,270,131,131,,
,310,132,132,,
,307,133,133,,
,399,134,134,,
,408,135,135,,
,465,136,136,,
,563,137,137,,
,613,138,138,,
,717,139,139,,
,905,140,140,,
,1050,141,141,,
,1327,142,142,,
,1577,143,143,,
,2031,144,144,,
,2415,145,145,,
,2977,146,146,,
,3665,147,147,,
,4360,148,148,,
,5474,149,149,,
,6646,150,150,,
,7788,151,151,,
,9620,152,152,,
,11391,153,153,,
,12906,154,154,,
,14856,155,155,,
,17079,156,156,,
,19008,157,157,,
,20798,158,158,,
,22384,159,159,,
,24095,160,160,,
,24435,161,161,,
,23533,162,162,,
,23043,163,163,,
,21369,164,164,,
,20033,165,165,,
,17866,166,166,,
,15408,167,167,,
,13249,168,168,,
,10708,169,169,,
,8614,170,170,,
,6690,171,171,,
,5145,172,172,,
,3872,173,173,,
,2808,174,174,,
,2004,175,175,,
,1378,176,176,,
,1005,177,177,,
,666,178,178,,
,439,179,179,,
,291,180,180,,
,208,181,181,,
,141,182,182,,
,109,183,183,,
,86,184,184,,
,76,185,185,,
,54,186,186,,
,53,187,187,,
,57,188,188,,
,51,189,189,,
,52,190,190,,
,63,191,191,,
,46,192,192,,
,53,193,193,,
,48,194,194,,
,50,195,195,,
,62,196,196,,
,48,197,197,,
,50,198,198,,
,37,199,199,,
,51,200,200,,
,53,201,201,,
,53,202,202,,
,48,203,203,,
,35,204,204,,
,48,205,205,,
,44,206,206,,
,42,207,207,,
,49,208,208,,
,47,209,209,,
,49,210,210,,
,55,211,211,,
,58,212,212,,
,56,213,213,,
,60,214,214,,
,55,215,215,,
,57,216,216,,
,57,217,217,,
,67,218,218,,
,67,219,219,,
,65,220,220,,
,68,221,221,,
,70,222,222,,
,56,223,223,,
,75,224,224,,
,67,225,225,,
,71,226,226,,
,69,227,227,,
,75,228,228,,
,85,229,229,,
,83,230,230,,
,68,231,231,,
,78,232,232,,
,88,233,233,,
,81,234,234,,
,90,235,235,,
,98,236,236,,
,81,237,237,,
,79,238,238,,
,96,239,239,,
,73,240,240,,
,105,241,241,,
,107,242,242,,
,96,243,243,,
,103,244,244,,
,90,245,245,,
,82,246,246,,
,81,247,247,,
,71,248,248,,
,85,249,249,,
,64,250,250,,
,85,251,251,,
,79,252,252,,
,66,253,253,,
,70,254,254,,
,71,255,255,,
,51,256,256,,
,59,257,257,,
,54,258,258,,
,50,259,259,,
,58,260,260,,
,57,261,261,,
,39,262,262,,
,51,263,263,,
,50,264,264,,
,64,265,265,,
,54,266,266,,
,56,267,267,,
,44,268,268,,
,56,269,269,,
,56,270,270,,
,49,271,271,,
,61,272,272,,
,65,273,273,,
,53,274,274,,
,63,275,275,,
,53,276,276,,
,60,277,277,,
,49,278,278,,
,61,279,279,,
,81,280,280,,
,79,281,281,,
,64,282,282,,
,65,283,283,,
,61,284,284,,
,76,285,285,,
,73,286,286,,
,79,287,287,,
,66,288,288,,
,55,289,289,,
,51,290,290,,
,54,291,291,,
,35,292,292,,
,38,293,293,,
,36,294,294,,
,29,295,295,,
,29,296,296,,
,22,297,297,,
,26,298,298,,
,19,299,299,,
,19,300,300,,
,20,301,301,,
,14,302,302,,
,12,303,303,,
,8,304,304,,
,3,305,305,,
,11,306,306,,
,5,307,307,,
,5,308,308,,
,1,309,309,,
,1,310,310,,
,5,311,311,,
,4,312,312,,
,1,313,313,,
,3,314,314,,
,2,315,315,,
,4,316,316,,
,1,317,317,,
,4,318,318,,
,7,319,319,,
,7,320,320,,
,3,321,321,,
,1,322,322,,
,6,323,323,,
,2,324,324,,
,1,325,325,,
,4,326,326,,
,1,327,327,,
,5,328,328,,
,3,329,329,,
,5,330,330,,
,1,331,331,,
,7,332,332,,
,0,333,333,,
,2,334,334,,
,4,335,335,,
,3,336,336,,
,2,337,337,,
,4,338,338,,
,1,339,339,,
,4,340,340,,
,5,341,341,,
,2,342,342,,
,2,343,343,,
,3,344,344,,
,4,345,345,,
,4,346,346,,
,1,347,347,,
,6,348,348,,
,4,349,349,,
,2,350,350,,
,2,351,351,,
,4,352,352,,
,5,353,353,,
,5,354,354,,
,4,355,355,,
,5,356,356,,
,2,357,357,,
,5,358,358,,
,5,359,359,,
,2,360,360,,
,4,361,361,,
,4,362,362,,
,2,363,363,,
,1,364,364,,
,6,365,365,,
,1,366,366,,
,2,367,367,,
,2,368,368,,
,3,369,369,,
,3,370,370,,
,2,371,371,,
,2,372,372,,
,1,373,373,,
,4,374,374,,
,5,375,375,,
,4,376,376,,
,0,377,377,,
,2,378,378,,
,2,379,379,,
,1,380,380,,
,4,381,381,,
,3,382,382,,
,4,383,383,,
,3,384,384,,
,0,385,385,,
,6,386,386,,
,2,387,387,,
,6,388,388,,
,5,389,389,,
,2,390,390,,
,6,391,391,,
,4,392,392,,
,2,393,393,,
,1,394,394,,
,4,395,395,,
,0,396,396,,
,7,397,397,,
,3,398,398,,
,3,399,399,,
,2,400,400,,
,3,401,401,,
,3,402,402,,
,7,403,403,,
,2,404,404,,
,3,405,405,,
,5,406,406,,
,8,407,407,,
,1,408,408,,
,3,409,409,,
,6,410,410,,
,4,411,411,,
,2,412,412,,
,6,413,413,,
,4,414,414,,
,0,415,415,,
,8,416,416,,
,3,417,417,,
,3,418,418,,
,3,419,419,,
,3,420,420,,
,2,421,421,,
,2,422,422,,
,4,423,423,,
,3,424,424,,
,4,425,425,,
,8,426,426,,
,5,427,427,,
,3,428,428,,
,3,429,429,,
,1,430,430,,
,5,431,431,,
,8,432,432,,
,3,433,433,,
,3,434,434,,
,1,435,435,,
,1,436,436,,
,4,437,437,,
,2,438,438,,
,3,439,439,,
,2,440,440,,
,0,441,441,,
,3,442,442,,
,1,443,443,,
,0,444,444,,
,1,445,445,,
,1,446,446,,
,4,447,447,,
,0,448,448,,
,2,449,449,,
,2,450,450,,
,2,451,451,,
,2,452,452,,
,1,453,453,,
,4,454,454,,
,0,455,455,,
,2,456,456,,
,3,457,457,,
,0,458,458,,
,0,459,459,,
,2,460,460,,
,2,461,461,,
,4,462,462,,
,2,463,463,,
,3,464,464,,
,1,465,465,,
,3,466,466,,
,1,467,467,,
,3,468,468,,
,2,469,469,,
,3,470,470,,
,2,471,471,,
,1,472,472,,
,1,473,473,,
,1,474,474,,
,1,475,475,,
,3,476,476,,
,2,477,477,,
,1,478,478,,
,0,479,479,,
,3,480,480,,
,0,481,481,,
,2,482,482,,
,1,483,483,,
,0,484,484,,
,2,485,485,,
,0,486,486,,
,2,487,487,,
,2,488,488,,
,1,489,489,,
,2,490,490,,
,3,491,491,,
,4,492,492,,
,2,493,493,,
,3,494,494,,
,1,495,495,,
,4,496,496,,
,5,497,497,,
,2,498,498,,
,3,499,499,,
,2,500,500,,
,3,501,501,,
,1,502,502,,
,2,503,503,,
,3,504,504,,
,5,505,505,,
,2,506,506,,
,4,507,507,,
,2,508,508,,
,2,509,509,,
,0,510,510,,
,50,511,511,,
